time_sec,VehicleSpeed_mph,EngineSpeed_rpm,EngineTorque,AccelPedalPos,BrakePedalPos,TurnSignal,Latitude_deg,Longitude_deg,Altitude,Distance,SteerAngle,TransmissionGear,SPaT_signal,SPaT_dist
98,38.80656073,1655.95238,85.99768681,16.078437,0,0,40.58170977,-105.0914476,151413.9976,1182.112648,5.221389476,7,3,371.0376203
99,38.74861395,1649.475,85.21216394,16.470594,0,0,40.58171334,-105.0916506,151366.8408,1199.261095,5.5,7,3,353.8891732
100,38.65694595,1638.642905,97.78296643,22.15169929,0,0,40.58171654,-105.0918525,151363.262,1216.315722,5.75,7,3,336.8345464
101,39.07107546,1615.516672,171.7616573,22.352949,0,0,40.58171957,-105.0920547,151368.2182,1233.394228,4.238162228,7,3,319.7560405
102,39.81825587,1543.025126,149.4475972,20.000007,0,0,40.5817225,-105.0922586,151409.2706,1250.616043,2.788550228,7,3,302.5342253
103,39.88757187,1557.232617,117.5,19.215693,0,0,40.58172631,-105.0924664,151476.0298,1268.166644,5.788016992,7,3,284.9836241
104,40.09538958,1562.369399,102.797784,17.647065,0,0,40.5817297,-105.092676,151534.2556,1285.878297,4.1875,7,3,267.2719719
105,40.35565871,1564.967889,70,15.68628,0,0,40.5817322,-105.0928853,151561.925,1303.554307,4.450132723,7,3,249.5959618
106,40.3577409,1703.369776,66,15.294123,0,0,40.58173424,-105.0930954,151543.7485,1321.29479,5.225603941,7,3,231.8554783
107,40.02333312,1585.853666,-9.411754781,0,0,0,40.58173561,-105.0933063,151551.2401,1339.111835,3.349170549,7,3,214.0384331
108,39.34242669,1514.017635,-25,0,0,0,40.58173713,-105.0935274,151560.9677,1357.784402,3.786369591,7,3,195.365866
109,38.39715038,1592.998884,26.71603456,7.450983,0,0,40.58173908,-105.0937291,151542.1967,1374.818179,4.549183378,7,3,178.332089
110,38.54609086,1495.378496,33.5,7.84314,0,0,40.58174107,-105.0939241,151584.0452,1391.284036,4.611573491,7,3,161.8662328
111,38.09027118,1479.894407,27.98335905,0.465367709,0,0,40.58174301,-105.0941249,151672.0865,1408.247426,4.5625,7,3,144.9028422
112,37.44756716,1440.560638,-18.19397763,0,0,1,40.58174496,-105.0943237,151724.1173,1425.038427,4,7,3,128.1118417
113,36.26531384,1395.642977,-38.5,0,14.509809,1,40.58174705,-105.094519,151718.1451,1441.528715,4.076709566,7,3,111.6215536
114,34.3601859,1309.29641,-39,0,21.568635,1,40.58174927,-105.094708,151692.761,1457.489175,4.173266082,7,3,95.66109397
115,30.7432047,1137.622929,-38.5,0,25.5853203,1,40.58175119,-105.0948863,151666.1876,1472.547064,5.45640403,7,3,80.60320424
116,26.18271059,1290.069869,-38.5,0,26.274519,1,40.5817524,-105.0950469,151668.8371,1486.112746,4.9375,6,3,67.0375229
117,21.67735934,1235.659151,-38,0,26.274519,1,40.58175293,-105.0951855,151645.2254,1497.817917,3.375,6,3,55.33235179
118,17.17663188,1265.983967,-38.5,0,26.274519,1,40.58175306,-105.0953004,151571.5705,1507.521525,1.5,5,3,45.6287435
119,12.29702164,914.3531817,-37.5,0,27.058833,1,40.58175321,-105.0953914,151572.14,1515.209832,3.077823928,5,3,37.9404367
120,7.833129054,792.038427,-1.823341365,0,25.098048,1,40.58175333,-105.0954576,151620.3491,1520.798605,-0.047146997,1,3,32.35166316
121,3.844246382,723.9423936,8.827995521,0,25.882362,1,40.58175349,-105.0955005,151642.4355,1524.419683,0.125,1,3,28.73058573
122,0.914998049,674.8621589,19.17038341,0,21.568635,1,40.58175361,-105.0955227,151680.5772,1526.297902,0.25,1,3,26.85236691
123,0,696.7433921,17.66965621,0,22.352949,1,40.58175361,-105.0955297,151719.164,1526.884045,0.140674436,1,3,26.26622327
124,0,0,-19,0,22.51768552,1,40.58175361,-105.0955301,151711.9257,1526.919789,0.203401877,1,3,26.23047905
125,0,0,-19.5,0,22.745106,1,40.58175361,-105.0955303,151693.1711,1526.941671,-0.108919493,1,3,26.20859753
126,0,0,-19.5,0,22.52170477,1,40.58175361,-105.0955306,151687.3852,1526.963552,0.3125,1,3,26.186716
127,0,730.2153124,-6.666265774,0,0,1,40.58175361,-105.0955309,151681.6935,1526.985434,-0.421112961,1,3,26.16483448
128,0.482447703,716.3462237,6.662385149,0,13.60764357,1,40.58175361,-105.0955318,151682.3043,1527.063126,-1,1,3,26.08714218
129,0,751.0308597,8,0,16.078437,1,40.58175361,-105.095534,151700.0359,1527.248313,0.045802567,1,3,25.90195531
130,0,674.7959099,20.66610904,0,17.31752661,1,40.58175361,-105.0955347,151716.8694,1527.313561,-0.857261918,1,3,25.83670701
131,0,671.3186379,23,0,17.647065,1,40.58175361,-105.095535,151718.8346,1527.332699,0.142980103,1,3,25.81756931
132,0,654.8660896,28.83963321,0,18.039222,1,40.58175361,-105.0955352,151715.3746,1527.351837,0.142954886,1,1,25.7984316
133,0,675.4797034,25.34399582,0,17.647065,1,40.58175361,-105.0955354,151714.5409,1527.370975,0.125,1,1,25.7792939
134,0.275253431,886.7437168,89.41385807,14.509809,0,1,40.58175361,-105.0955357,151717.1642,1527.390112,0.125,1,1,25.76015619
135,4.223919075,1654.605938,130.7943751,21.568635,0,1,40.58175361,-105.0955396,151715.7584,1527.722066,-0.518102775,1,1,25.42820236
136,9.915864259,2197.625956,163.8607082,20.784321,0,1,40.58175391,-105.0955612,151715.1641,1529.545275,2.076384795,1,1,23.60499362
137,13.35687575,2354.147422,15.36861765,7.450983,0,1,40.58175432,-105.0956094,151733.8347,1533.619649,44.96595263,1,3,19.53061985
138,14.56656121,2048.264551,75.23106656,10.588239,0,1,40.58175261,-105.095676,151749.0817,1539.250944,104.8791354,2,3,13.89932404
139,15.52854254,1632.295486,34.76340645,11.47697779,0,1,40.58174197,-105.0957493,151749.4581,1545.581669,167.6570334,2,3,7.568599663
140,17.22509414,1648.229401,122.8763578,16.862751,0,1,40.58171206,-105.0958186,151759.4046,1552.429766,156.9485711,4,3,0.72050213
141,19.80775942,1979.212723,185.8823655,21.960792,0,1,40.58165454,-105.0958719,151793.9355,1560.395316,74.54547857,4,1,385.3865898
142,22.63156415,1711.595637,186.5,22.352949,0,0.528423434,40.5815814,-105.0958977,151799.8882,1568.8566,48.58184687,5,1,376.9253054
143,25.30839806,1906.447669,171,22.745106,0,0,40.58149625,-105.0959047,151793.0874,1578.366729,13.91780251,5,1,367.415177
144,27.7306771,2093.487197,156.5,22.745106,0,0,40.58139664,-105.0959001,151772.7492,1589.452818,7.209987053,5,1,356.3290874
145,29.62934072,2068.732602,129.3402928,22.745106,0,0,40.58128773,-105.0958906,151765.8602,1601.590906,6.9375,5,1,344.1909997
146,31.47881558,1778.584039,168,22.745106,0,0,40.58117085,-105.0958796,151725.5433,1614.62031,3.4375,6,1,331.1615962
147,33.15807796,1878.455139,161.5950665,22.745106,0,0,40.58104928,-105.0958764,151661.5136,1628.152783,-0.478759182,6,1,317.6291227
